Provider_CCN,is_matched_hospital,Entity_Name,State,Individuals_Affected,Breach_Year,Main_Breach_Type,Main_Location,Business_Associate_Involved
,False,"LABORATORY CORPORATION OF AMERICA / US LABS / DIANON SYSTEMS, INC",AZ,2773.0,2010,Theft,Other (Cloud/Portable Media),No
,False,UNIVERSITY OF PITTSBURGH STUDENT HEALTH CENTER,PA,8000.0,2010,Theft,Paper Records,No
,False,VHS GENESIS LAB INC.,IL,6800.0,2010,Loss,Paper Records,No
,False,PROVIDENCE HOSPITAL,MI,83945.0,2010,Other/Unknown,Other (Cloud/Portable Media),No
,False,"MCKESSON INFORMATION SOLUTIONS, LLC",GA,660.0,2010,Other/Unknown,Paper Records,Yes
,False,PEDIATRIC SPORTS AND SPINE ASSOCIATES,TX,955.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,"AFFINITY HEALTH PLAN, INC.",NY,344579.0,2010,Theft,Other (Cloud/Portable Media),No
521320,True,TOMAH MEMORIAL HOSPITAL,WI,600.0,2010,Other/Unknown,Other (Cloud/Portable Media),No
,False,"PRAXAIR HEALTHCARE SERVICES, INC. (HOME CARE SUPPLY IN NY)",CT,54165.0,2010,Theft,Physical Device (Workstation/Laptop),No
220075,True,MASSACHUSETTS EYE AND EAR INFIRMARY,MA,3594.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND,RI,12000.0,2010,Theft,Paper Records,No
,False,SOUTH CAROLINA DEPARTMENT OF HEALTH AND ENVIRONMENTAL CONTROL,SC,2850.0,2010,Improper Disposal,Paper Records,No
,False,ST. JOSEPH HERITAGE HEALTHCARE,CA,22012.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,JOHN MUIR PHYSICIAN NETWORK,CA,5450.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,MEDICAL CENTER AT BOWLING GREEN,KY,5148.0,2010,Theft,Other (Cloud/Portable Media),No
,False,TOWERS WATSON,VA,1874.0,2010,Theft,Other (Cloud/Portable Media),Yes
,False,UNITEDHEALTH GROUP HEALTH PLAN SINGLE AFFILIATED COVERED ENTITY,MN,735.0,2010,Theft,Paper Records,No
,False,SOUTH TEXAS VETERANS HEALTH CARE SYSTEM,TX,1430.0,2010,Loss,Paper Records,No
,False,"MILLENNIUM MEDICAL MANAGEMENT RESOURCES, INC.",IL,180111.0,2010,Theft,Other (Cloud/Portable Media),Yes
,False,ROCKBRIDGE AREA COMMUNITY SERVICES,VA,500.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,VA EASTERN COLORADO HEALTH CARE SYSTEM,CO,649.0,2010,Theft,Paper Records,No
,False,MIAMI VA HEALTHCARE SYSTEM,FL,568.0,2010,Theft,Paper Records,No
,False,"HERIBERTO RODRIGUEZ-AYALA, M.D.",TX,4200.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,SILICON VALLEY EYECARE OPTOMETRY AND CONTACT LENSES,CA,40000.0,2010,Theft,Network Server,No
,False,GEORGETOWN UNIVERSITY HOSPITAL,DC,2416.0,2010,Theft,Email,No
,False,HERITAGE HEALTH SOLUTIONS,TX,656.0,2010,Theft,Physical Device (Workstation/Laptop),Yes
,False,UNIVERSITY OF ROCHESTER MEDICAL CENTER AND AFFILIATES,NY,2628.0,2010,Other/Unknown,Paper Records,No
,False,OCONEE PHYSICIAN PRACTICES,SC,653.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,"OMAHA CONSTRUCTION INDUSTRY , PRIVACY MANAGER BREACH",NE,800.0,2010,Theft,Physical Device (Workstation/Laptop),Yes
,False,"CITY OF CHARLOTTE, NC (HEALTH PLAN)",NC,5220.0,2010,Loss,Other (Cloud/Portable Media),Yes
,False,VA NORTH TEXAS HEALTH CARE SYSTEM,TX,4083.0,2010,Improper Disposal,Paper Records,No
,False,RAINBOW HOSPICE AND PALLIATIVE CARE,IL,1000.0,2010,Theft,Physical Device (Workstation/Laptop),No
363300,True,CINCINNATI CHILDRENS HOSPITAL MEDICAL CENTER,OH,60998.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,OCCUPATIONAL HEALTH PARTNERS,KS,1105.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,"UNIVERSITY OF LOUISVILLE RESEARCH FOUNDATION, INC., DBA THE KIDNEY DISEASE PROGRAM",KY,708.0,2010,Hacking/IT Incident,Network Server,No
,False,"AVMED, INC.",FL,1220000.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,"SIEMENS MEDICAL SOLUTIONS, USA, INC",PA,130495.0,2010,Theft,Other (Cloud/Portable Media),Yes
,False,"NIHAL SARAN, MD",MI,2300.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,UNITEDHEALTH GROUP HEALTH PLAN SINGLE AFFILIATED COVERED ENTITY,MN,16291.0,2010,Other/Unknown,Paper Records,No
443302,True,ST. JUDE CHILDREN'S RESEARCH HOSPITAL,TN,1745.0,2010,Loss,Physical Device (Workstation/Laptop),No
,False,DENTAQUEST,MA,10515.0,2010,Theft,Physical Device (Workstation/Laptop),Yes
,False,COMPREHENSIVE CARE MANAGEMENT CORPORATION,NY,1020.0,2010,Theft,Network Server,No
,False,THE CHILDREN'S MEDICAL CENTER OF DAYTON,OH,1001.0,2010,Other/Unknown,Email,No
,False,UNIVERSITY OF KENTUCKY,KY,2027.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,ALMA AGUADO MD PA,TX,600.0,2010,Theft,Network Server,No
,False,"AUGUSTA DATA STORAGE, INC",GA,14000.0,2010,Loss,Other (Cloud/Portable Media),Yes
,False,UNIVERSITY HEALTH SYSTEM,NV,7526.0,2010,Theft,Network Server,No
,False,"ARAMARK HEALTHCARE SUPPORT SERVICES, LLC",PA,937.0,2010,Other/Unknown,Email,Yes
,False,"MARY M. DESCH,MD/PATHHEALER, LTD",AZ,5893.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,CHILDREN'S HOSPITAL & RESEARCH CENTER AT OAKLAND,CA,1000.0,2010,Other/Unknown,Paper Records,No
,False,CENTERSTONE,TN,1537.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,CARE 1ST HEALTH PLAN,CA,29000.0,2010,Loss,Other (Cloud/Portable Media),Yes
,False,NYU HOSPITALS CENTER,NY,2563.0,2010,Theft,Other (Cloud/Portable Media),No
,False,LONG ISLAND CONSULTATION CENTER,NY,800.0,2010,Theft,Other (Cloud/Portable Media),No
,False,UNIVERSITY OF FLORIDA,FL,2047.0,2010,Other/Unknown,Paper Records,No
,False,SUNBRIDGE HEALTHCARE CORPORATION,NM,3830.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,GOVERNOR'S OFFICE OF INFORMATION TECHNOLOGY,CO,105470.0,2010,Theft,Physical Device (Workstation/Laptop),Yes
