ccn,report_year,y_true,LogisticRegression_proba,LogisticRegression_pred,RandomForest_proba,RandomForest_pred,XGBoost_proba,XGBoost_pred,SV_proba,SVM_pred
330136,2021,0,0.768231,1,0.345887,0,0.191114,0,0.01152,0
330140,2021,0,0.464273,0,0.102975,0,0.032372,0,0.000351,0
330141,2021,0,0.481297,0,0.264394,0,0.05658,0,1.9e-05,0
330144,2021,0,0.206134,0,0.170494,0,0.015265,0,0.000826,0
330151,2021,0,0.294971,0,0.32094,0,0.251084,0,0.011926,0
330153,2021,0,0.542576,1,0.524414,1,0.494854,0,0.087985,1
330154,2021,0,0.517541,1,0.307853,0,0.049786,0,0.004057,0
330157,2021,0,0.74731,1,0.502916,1,0.471233,0,0.283592,1
330158,2021,0,0.45911,0,0.049527,0,0.086219,0,0.006228,0
330160,2021,0,0.744836,1,0.731219,1,0.727646,1,0.000639,0
330162,2021,0,0.626841,1,0.38486,0,0.289859,0,0.061324,1
330163,2021,0,0.079324,0,0.096089,0,0.019619,0,0.000324,0
330164,2021,0,0.717403,1,0.372487,0,0.011959,0,0.000142,0
330166,2021,0,0.393971,0,0.177934,0,0.036563,0,0.003509,0
330169,2021,0,0.211707,0,0.269972,0,0.032227,0,0.000813,0
330175,2021,0,0.098701,0,0.289754,0,0.022268,0,6e-05,0
330180,2021,0,0.398118,0,0.351439,0,0.223017,0,0.014681,0
330181,2021,0,0.096132,0,0.142729,0,0.093598,0,0.001497,0
330182,2021,0,0.114028,0,0.257832,0,0.035891,0,0.001206,0
330184,2021,0,0.569454,1,0.159082,0,0.13156,0,0.092538,1
330185,2021,0,0.201348,0,0.283287,0,0.046912,0,0.000134,0
330188,2021,0,0.24601,0,0.313796,0,0.756345,1,0.006337,0
330191,2021,0,0.539096,1,0.46844,0,0.120398,0,0.002147,0
330193,2021,0,0.26102,0,0.145944,0,0.120125,0,0.004256,0
330194,2021,1,0.752211,1,0.811179,1,0.911737,1,0.177579,1
330195,2021,0,0.996541,1,0.430608,0,0.263417,0,0.007077,0
330196,2021,0,0.025331,0,0.034689,0,0.017531,0,0.000378,0
330197,2021,0,0.625623,1,0.600555,1,0.687416,1,0.009836,0
330198,2021,0,0.641873,1,0.606729,1,0.510396,1,0.614058,1
330199,2021,0,0.000416,0,0.107556,0,0.011665,0,0.000103,0
330202,2021,0,0.002517,0,0.05375,0,0.004874,0,9.6e-05,0
330203,2021,0,0.578388,1,0.271127,0,0.214727,0,0.007313,0
330204,2021,0,0.002278,0,0.005741,0,0.001139,0,0.000465,0
330205,2021,0,0.436808,0,0.01271,0,0.01346,0,0.001155,0
330208,2021,0,0.603973,1,0.129948,0,0.04545,0,0.000463,0
330211,2021,0,0.193671,0,0.185403,0,0.072042,0,0.002078,0
330214,2021,1,0.979929,1,0.842171,1,0.90842,1,0.003795,0
330215,2021,0,0.476602,0,0.435422,0,0.375882,0,0.014943,0
330218,2021,0,0.602242,1,0.563759,1,0.408802,0,0.008618,0
330219,2021,0,0.432433,0,0.247417,0,0.114897,0,0.000528,0
330221,2021,0,0.610661,1,0.297336,0,0.152822,0,0.037262,1
330222,2021,0,0.630754,1,0.481704,0,0.068936,0,0.292594,1
330223,2021,0,0.187921,0,0.157218,0,0.08079,0,0.001919,0
330224,2021,0,0.549282,1,0.192065,0,0.226023,0,0.083365,1
330226,2021,0,0.572655,1,0.403454,0,0.129753,0,0.140846,1
330229,2021,0,0.328027,0,0.321808,0,0.094482,0,0.000709,0
330231,2021,0,0.017752,0,0.022775,0,0.006566,0,0.00032,0
330233,2021,0,0.689135,1,0.081745,0,0.00764,0,0.003838,0
330234,2021,0,0.671961,1,0.264257,0,0.112167,0,0.001644,0
330235,2021,0,0.749419,1,0.428975,0,0.477906,0,0.006828,0
330236,2021,0,0.073509,0,0.541546,1,0.476259,0,9e-06,0
330238,2021,0,0.644495,1,0.3487,0,0.171151,0,0.007644,0
330239,2021,0,0.689362,1,0.282482,0,0.362921,0,0.025409,0
330240,2021,0,0.558202,1,0.079383,0,0.011056,0,6.9e-05,0
330241,2021,0,0.783077,1,0.233404,0,0.014822,0,0.000156,0
330245,2021,0,0.084615,0,0.09558,0,0.046921,0,5.1e-05,0
330246,2021,0,0.571455,1,0.113894,0,0.062715,0,0.029412,0
330250,2021,0,0.561097,1,0.429743,0,0.255363,0,0.004643,0
330259,2021,0,0.447557,0,0.294354,0,0.323544,0,0.003147,0
330261,2021,0,0.632477,1,0.400523,0,0.550065,1,0.300726,1
330264,2021,0,0.589557,1,0.185378,0,0.053226,0,0.048257,1
330265,2021,0,0.102251,0,0.353447,0,0.061874,0,0.000841,0
330267,2021,0,0.736835,1,0.44669,0,0.572588,1,0.060471,1
330270,2021,0,0.825398,1,0.301082,0,0.041694,0,0.002043,0
330273,2021,0,0.151836,0,0.267405,0,0.058376,0,0.004477,0
330276,2021,0,0.511905,1,0.384188,0,0.1504,0,0.058632,1
330277,2021,0,0.450691,0,0.092663,0,0.03712,0,0.018112,0
330279,2021,0,0.360031,0,0.118088,0,0.015539,0,0.005186,0
330285,2021,0,0.907379,1,0.396149,0,0.074353,0,0.00437,0
330286,2021,0,0.564588,1,0.575968,1,0.249052,0,0.007889,0
330304,2021,0,0.159904,0,0.356389,0,0.057907,0,0.001815,0
330307,2021,0,0.734322,1,0.496986,0,0.350906,0,0.020666,0
330331,2021,0,0.383381,0,0.073904,0,0.050739,0,0.004154,0
330332,2021,0,0.498311,0,0.123535,0,0.025713,0,0.00162,0
330350,2021,0,0.909094,1,0.197659,0,0.024903,0,0.001308,0
330354,2021,0,0.139921,0,0.404993,0,0.334211,0,8.8e-05,0
330386,2021,0,0.436119,0,0.286051,0,0.247087,0,0.009599,0
330393,2021,0,0.820526,1,0.633123,1,0.228861,0,0.020524,0
330394,2021,0,0.732045,1,0.520098,1,0.387679,0,0.008595,0
330395,2021,0,0.862605,1,0.168058,0,0.012904,0,0.001084,0
330396,2021,0,0.206412,0,0.054213,0,0.004495,0,0.00048,0
330399,2021,0,0.297287,0,0.482477,0,0.355668,0,0.035027,1
330401,2021,0,0.263358,0,0.320078,0,0.215102,0,0.000583,0
330405,2021,0,0.293212,0,0.115113,0,0.029487,0,0.001277,0
330406,2021,0,0.314441,0,0.13913,0,0.034322,0,0.030556,0
330410,2021,0,0.000124,0,0.036206,0,0.004512,0,0.000359,0
330411,2021,0,0.00133,0,0.040836,0,0.023721,0,0.000182,0
331301,2021,0,0.197897,0,0.239414,0,0.261358,0,0.000716,0
331302,2021,0,0.648337,1,0.435975,0,0.306292,0,0.002829,0
331303,2021,0,0.222513,0,0.143994,0,0.008727,0,0.002493,0
331304,2021,0,0.543826,1,0.119162,0,0.146895,0,0.00771,0
331305,2021,0,0.521835,1,0.330505,0,0.224814,0,0.044115,1
331307,2021,0,0.081265,0,0.15969,0,0.07659,0,0.001895,0
331309,2021,0,0.526515,1,0.163335,0,0.223468,0,0.007981,0
331310,2021,0,0.334656,0,0.253532,0,0.211419,0,0.000845,0
331311,2021,0,0.348532,0,0.310265,0,0.210505,0,0.065879,1
331312,2021,0,0.506151,1,0.320495,0,0.262942,0,0.044435,1
331313,2021,0,0.643171,1,0.269848,0,0.089781,0,0.001433,0
331314,2021,0,0.366548,0,0.330668,0,0.175945,0,0.012505,0
331315,2021,0,0.486579,0,0.32834,0,0.354069,0,0.008713,0
331316,2021,0,0.381598,0,0.439681,0,0.128951,0,0.047111,1
331317,2021,0,0.693509,1,0.302086,0,0.33865,0,0.013368,0
331318,2021,0,0.453349,0,0.36207,0,0.439016,0,0.001908,0
331319,2021,0,0.476699,0,0.26381,0,0.089023,0,0.014848,0
331320,2021,0,0.291057,0,0.238009,0,0.069127,0,0.011109,0
331990,2021,0,0.0679,0,0.000328,0,0.001042,0,5.1e-05,0
332006,2021,0,0.025817,0,0.077511,0,0.051567,0,0.00122,0
332008,2021,0,7.9e-05,0,0.002669,0,0.00147,0,2.7e-05,0
333030,2021,0,0.04031,0,0.124486,0,0.07172,0,0.000176,0
334001,2021,0,0.454309,0,0.0516,0,0.028012,0,0.000122,0
334002,2021,0,0.182721,0,0.038284,0,0.031583,0,0.014026,0
334003,2021,0,0.512906,1,0.056377,0,0.029602,0,0.000305,0
334004,2021,0,0.159798,0,0.042963,0,0.006111,0,0.000111,0
334009,2021,0,0.567253,1,0.05515,0,0.022596,0,0.000803,0
