Facility ID,State,Hospital_Type,Birthing_Center,Emergency_Services,Hospital_Ownership,Hospital_Rating,MORT_Participation,Safety_Participation,READM_Participation,PtExp_Participation,TE_Participation,Engagement_Index,Domains_Reporting,MORT_Better,MORT_Worse,Safety_Better,Safety_Worse,READM_Better,READM_Worse,Net_Performance_Score,Net_Performance_Rate,Performance_Ratio
010046,AL,Acute Care,0,1,For-Profit,2.0,0.8571428571428571,0.625,0.6363636363636364,1.0,0.6666666666666666,0.757034632034632,5,0.0,0.0,0.2,0.0,0.0,0.14285714285714285,0.0,0.0,0.05555555555555555
010049,AL,Acute Care,1,1,For-Profit,3.0,0.5714285714285714,0.5,0.6363636363636364,1.0,0.8333333333333334,0.7082251082251083,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010051,AL,Acute Care,0,1,Non-Profit,,0.0,0.0,0.0,0.0,0.3333333333333333,0.06666666666666667,1,,,,,,,0.0,,
010052,AL,Acute Care,0,1,For-Profit,,0.14285714285714285,0.0,0.18181818181818182,1.0,0.5,0.36493506493506495,4,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
010055,AL,Acute Care,1,1,For-Profit,2.0,1.0,1.0,0.8181818181818182,1.0,0.9166666666666666,0.946969696969697,5,0.0,0.42857142857142855,0.375,0.0,0.0,0.2222222222222222,-2.0,-0.08333333333333333,0.125
010056,AL,Acute Care,1,1,Non-Profit,3.0,1.0,1.0,0.8181818181818182,1.0,0.9166666666666666,0.946969696969697,5,0.14285714285714285,0.0,0.25,0.0,0.1111111111111111,0.0,4.0,0.16666666666666666,0.16666666666666666
010058,AL,Acute Care,1,1,Government,,0.14285714285714285,0.125,0.18181818181818182,0.0,0.6666666666666666,0.22326839826839828,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010059,AL,Acute Care,0,1,Government,,0.14285714285714285,0.0,0.18181818181818182,0.0,0.5,0.16493506493506493,3,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
010061,AL,Acute Care,1,1,Government,3.0,0.5714285714285714,0.375,0.5454545454545454,1.0,0.8333333333333334,0.6650432900432901,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010062,AL,Acute Care,0,1,Government,,0.14285714285714285,0.25,0.2727272727272727,0.0,0.5833333333333334,0.24978354978354975,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010065,AL,Acute Care,1,1,Non-Profit,3.0,0.5714285714285714,0.5,0.8181818181818182,1.0,0.8333333333333334,0.7445887445887446,5,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,1.0,0.058823529411764705,0.058823529411764705
010073,AL,Acute Care,0,1,Government,,0.14285714285714285,0.0,0.2727272727272727,0.0,0.6666666666666666,0.21645021645021645,3,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
010078,AL,Acute Care,1,1,Government,1.0,0.8571428571428571,0.875,0.9090909090909091,1.0,1.0,0.9282467532467532,5,0.0,0.16666666666666666,0.0,0.0,0.0,0.2,-3.0,-0.13043478260869565,0.0
010079,AL,Acute Care,1,1,Government,3.0,0.5714285714285714,0.75,0.6363636363636364,1.0,1.0,0.7915584415584416,5,0.0,0.25,0.0,0.0,0.14285714285714285,0.2857142857142857,-2.0,-0.11764705882352941,0.058823529411764705
010083,AL,Acute Care,1,1,For-Profit,4.0,0.8571428571428571,0.75,0.7272727272727273,1.0,1.0,0.8668831168831168,5,0.0,0.0,0.3333333333333333,0.0,0.25,0.0,4.0,0.2,0.2
010085,AL,Acute Care,1,1,Government,3.0,0.8571428571428571,0.875,0.6363636363636364,1.0,0.9166666666666666,0.857034632034632,5,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,2.0,0.1,0.1
010086,AL,Acute Care,0,1,For-Profit,4.0,0.42857142857142855,0.125,0.45454545454545453,1.0,0.75,0.5516233766233766,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010087,AL,Acute Care,0,1,Government,2.0,0.7142857142857143,0.75,0.6363636363636364,1.0,0.6666666666666666,0.7534632034632034,5,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.2857142857142857,-1.0,-0.05555555555555555,0.1111111111111111
010089,AL,Acute Care,1,1,For-Profit,3.0,0.7142857142857143,0.625,0.5454545454545454,1.0,0.8333333333333334,0.7436147186147186,5,0.0,0.0,0.2,0.0,0.0,0.16666666666666666,0.0,0.0,0.0625
010090,AL,Acute Care,1,1,Non-Profit,3.0,1.0,0.875,0.8181818181818182,1.0,0.75,0.8886363636363637,5,0.0,0.0,0.2857142857142857,0.0,0.0,0.1111111111111111,1.0,0.043478260869565216,0.08695652173913043
010091,AL,Acute Care,0,1,Government,,0.0,0.0,0.09090909090909091,0.0,0.5833333333333334,0.13484848484848486,2,,,,,0.0,0.0,0.0,0.0,0.0
010092,AL,Acute Care,1,1,Government,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.0,0.14285714285714285,0.375,0.0,0.0,0.2727272727272727,-1.0,-0.038461538461538464,0.11538461538461539
010095,AL,Acute Care,0,1,Government,,0.0,0.0,0.09090909090909091,0.0,0.4166666666666667,0.10151515151515152,2,,,,,0.0,0.0,0.0,0.0,0.0
010097,AL,Acute Care,0,1,For-Profit,,0.14285714285714285,0.0,0.2727272727272727,1.0,0.6666666666666666,0.41645021645021646,4,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
010099,AL,Acute Care,1,1,Government,,0.2857142857142857,0.25,0.5454545454545454,1.0,0.75,0.5662337662337662,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010100,AL,Acute Care,1,1,Non-Profit,3.0,1.0,0.875,0.8181818181818182,1.0,0.8333333333333334,0.9053030303030303,5,0.0,0.0,0.14285714285714285,0.0,0.1111111111111111,0.0,2.0,0.08695652173913043,0.08695652173913043
010101,AL,Acute Care,0,1,Non-Profit,,0.2857142857142857,0.25,0.36363636363636365,1.0,0.5833333333333334,0.49653679653679655,5,0.0,0.0,0.0,0.0,0.0,0.25,-1.0,-0.125,0.0
010103,AL,Acute Care,0,1,Non-Profit,3.0,1.0,0.875,0.8181818181818182,1.0,0.8333333333333334,0.9053030303030303,5,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,2.0,0.08695652173913043,0.13043478260869565
010104,AL,Acute Care,1,1,For-Profit,2.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.9833333333333334,5,0.0,0.14285714285714285,0.125,0.0,0.0,0.18181818181818182,-2.0,-0.07692307692307693,0.038461538461538464
010108,AL,Acute Care,0,1,Government,3.0,0.5714285714285714,0.375,0.45454545454545453,1.0,0.75,0.6301948051948052,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
